G06Q10/00	管理；経営
G06Q10/02	予約，例．切符，サービスあるいはイベントのためのもの
G06Q10/021	
G06Q10/022	
G06Q10/025	｛複数の予約の調整，例．複数の旅行要素，宿泊施設と組み合わせられた交通｝
G06Q10/026	
G06Q10/027	
G06Q10/028	
G06Q10/0281	
G06Q10/0283	
G06Q10/0285	
G06Q10/0287	
G06Q10/04	予測あるいは最適化，例．線形計画法，巡回セールスマン問題，板取問題｛（マーケティング，価格決定または需要予測に特に適合したデータ収集Ｇ０６Ｑ３０／０２）｝
G06Q10/043	｛二次元配置の最適化，例．衣服または木の切断｝
G06Q10/047	｛経路の最適化，例．巡回セールスマン問題｝
G06Q10/06	資源，ワークフロー，人員またはプロジェクト管理，例．組織化，計画，スケジューリング，時間的，人的または物的資源の割り当て；事業計画；組織モデル｛（経理資産管理Ｇ０６Ｑ４０／０６）｝
G06Q10/063	｛オペレーションズリサーチまたは分析｝
G06Q10/0631	｛企業活動のためのリソースの計画，配分またはスケジューリング｝
G06Q10/06311	｛個人またはグループのためのスケジューリング，計画またはタスク割り当て｝
G06Q10/063112	｛個人またはグループのスキルに基づいたタスクのマッチング｝
G06Q10/063114	｛個人またはグループのための進捗状況のモニタリングまたは決定｝
G06Q10/063116	｛個人またはグループのためのスケジュール調整｝
G06Q10/063118	｛プロジェクト環境下における人員計画｝
G06Q10/063119	
G06Q10/06312	｛既存のリソース計画の調整または分析，例．リソースまたはタスクの平準化または動的再計画｝
G06Q10/06313	｛プロジェクト環境下におけるリソース計画｝
G06Q10/06314	｛リソースのための日程調整｝
G06Q10/06315	｛ニーズに基づくリソース要件の計画または分析｝
G06Q10/06316	｛タスクまたは仕事の順序付け｝
G06Q10/06317	
G06Q10/0633	｛ワークフロー分析｝
G06Q10/06332	
G06Q10/06334	
G06Q10/0635	｛リスク分析｝
G06Q10/0637	｛戦略的管理または分析｝
G06Q10/06375	｛提案された変更によるビジネスプロセスの結果または影響の予測｝
G06Q10/0639	｛パフォーマンスの分析｝
G06Q10/06393	｛スコアカード，ベンチマーキングまたはキーパフォーマンスインディケータ［ＫＰＩ］による分析｝
G06Q10/06395	｛品質分析または管理｝
G06Q10/06398	｛ジョブの機能に関連した従業員のパフォーマンス｝
G06Q10/067	｛ビジネスモデリング｝
G06Q10/0672	
G06Q10/0674	
G06Q10/08	ロジスティックス，例．倉庫，積み荷，配達または輸送；資産あるいは在庫管理，例．注文処理，注文に対する調達または調整
G06Q10/083	｛輸送｝
G06Q10/0831	｛海外取引｝
G06Q10/0832	｛特別商品または特別取扱手続｝
G06Q10/0833	｛追跡｝
G06Q10/0834	｛運送者の選択｝
G06Q10/08345	｛料金設定｝
G06Q10/0835	｛輸送者（荷主）または供給者と運送者との関係｝
G06Q10/08355	｛経路決定手法｝
G06Q10/0836	｛中央の受取場所でのピックアップ｝
G06Q10/08365	
G06Q10/0837	｛返品取引｝
G06Q10/0838	｛履歴データ｝
G06Q10/0841	
G06Q10/0843	
G06Q10/087	｛在庫管理，例，注文処理，注文に対する調達または調整｝
G06Q10/0872	
G06Q10/08724	
G06Q10/08726	
G06Q10/08728	
G06Q10/0874	
G06Q10/08741	
G06Q10/08743	
G06Q10/08744	
G06Q10/0875	｛部品，供給品，またはサービスの項目別分類，例，部品表｝
G06Q10/0877	
G06Q10/08772	
G06Q10/08774	
G06Q10/08776	
G06Q10/08778	
G06Q10/10	オフィスオートメーション，例．電子メールまたはグループウェアのコンピュータによる管理（電子メールネットワークシステムＨ０４Ｌ１２／５８；電子メールプロトコルＨ０４Ｌ２９／０６）；時間管理，例．カレンダー，リマインダー，ミーティング，時間会計｛（組織化，計画，スケジューリングまたは時間の分配Ｇ０６Ｑ１０／０６）｝
G06Q10/101	｛製品またはサービスの共同開発｝
G06Q10/103	｛ワークフローの協働またはプロジェクト管理｝
G06Q10/105	｛人的資源｝
G06Q10/1053	｛雇用｝
G06Q10/1057	｛福利厚生｝
G06Q10/107	｛電子メールのコンピューター支援管理（電子メールネットワークシステムＨ０４Ｌ１２／５８；電子メールプロトコルＨ０４Ｌ２９／０６）｝
G06Q10/109	｛時間管理，例．カレンダー，リマインダー，ミーティング，時間会計｛（組織化，計画，スケジューリングまたは時間の分配Ｇ０６Ｑ１０／０６）｝
G06Q10/1091	｛管理目的での時間の記録｝
G06Q10/1093	｛個人またはグループのためのカレンダーに基づくのスケジューリング｝
G06Q10/1097	｛タスクの割り当て｝
G06Q10/20	｛製品補修またはメンテナンスの管理｝
G06Q10/30	｛製品リサイクルまたは処分の管理｝
G06Q20/00	支払アーキテクチャ，スキーム，またはプロトコル（支払取引を実施するまたは記帳するための装置Ｇ０７Ｆ７／０８，Ｇ０７Ｆ１９／００；電子金銭登録機Ｇ０７Ｇ１／１２）
G06Q20/02	中立の第三者を含むもの，例．認証局，公証人，信頼されたサードパーティー〔ＴＴＰ〕
G06Q20/023	｛中立の第三者が決済機関であることに特徴があるもの｝
G06Q20/027	｛支払スイッチまたはゲートウェイを含むもの｝
G06Q20/04	支払経路
G06Q20/042	｛支払プロトコルが少なくとも一つの小切手を含むことに特徴があるもの｝
G06Q20/0425	｛小切手が電子的なもののみ｝
G06Q20/045	｛支払プロトコルが少なくとも一つのチケットを含むことに特徴があるもの｝
G06Q20/0457	｛チケットが電子的に送付されることに特徴があるもの｝
G06Q20/047	
G06Q20/06	私的な支払マネーの経路，例．共通の支払スキームの参加者の間でのみ使用される電子通貨を含むもの
G06Q20/065	｛電子マネーを使用するもの｝
G06Q20/0652	｛パラメータ，例．時間，によって額が減少する電子マネー｝
G06Q20/0655	｛中央管理される電子マネー｝
G06Q20/0658	｛ローカル管理される電子マネー｝
G06Q20/08	支払アーキテクチャ
G06Q20/085	｛遠隔での課金の決定または関連する支払システムを含むもの｝
G06Q20/0855	｛第三者を含むもの｝
G06Q20/10	電子資金取引［ＥＦＴ］システムに特に適合したもの；ホーム・バンキング・システムに特に適合したもの
G06Q20/102	｛請求書の配布または支払い｝
G06Q20/105	｛携帯記憶素子のプログラムを含むもの，例．ＩＣカード，電子財布｝
G06Q20/108	｛リモートバンキング，例．ホームバンキング｝
G06Q20/1085	｛ＡＴＭを含むもの｝
G06Q20/12	電子ショッピングシステムに特に適合したもの
G06Q20/123	｛デジタルコンテンツのショッピング｝
G06Q20/1235	｛著作権管理［ＤＲＭ］の制御を伴うもの｝
G06Q20/127	｛時間制限のあるショッピングまたはサービスへのアクセス｝
G06Q20/14	請求システムに特に適合したもの
G06Q20/145	｛検知された使用または量に従った支払い｝
G06Q20/16	テレコミュニケーション・システムを経由した支払い
G06Q20/18	セルフ・サービス・ターミナル〔ＳＳＴ〕，自動販売機，キオスクまたはマルチメディア端末を含むもの
G06Q20/20	ポイントオブセール〔ＰＯＳ〕ネットワークシステム｛（ＰＯＳそれ自体Ｇ０７ＦまたはＧ０７Ｇ）｝
G06Q20/201	｛価格読み取り（ＰＬＵ）処理，例．更新｝
G06Q20/202	｛複数の電子金銭登録機［ＥＣＲ］またはホストコンピュータへの相互接続または相互作用，例．ネットワークの詳細，ホストからＥＣＲ，またはＥＣＲからＥＣＲへの情報の転送｝
G06Q20/203	｛在庫の監視｝
G06Q20/204	｛電子資金取引またはクレジット支払のための記録媒体または回線のためのインターフェースからなるもの｝
G06Q20/206	｛セキュリティまたはユーザー識別の提供からなるもの，例．パスワードによるエントリー｝
G06Q20/207	｛税金の処理｝
G06Q20/208	｛製品または記録の検出による入力，例．計量またはスキャナープロセス｝
G06Q20/209	｛特定の取引結果の特徴，例．印刷されたレシートまたは音声出力｝
G06Q20/22	支払スキームまたはモデル
G06Q20/223	｛ピアーツーピアーネットワークの使用に基づくもの｝
G06Q20/227	｛多数の口座が支払者に利用可能であることに特徴があるもの｝
G06Q20/229	
G06Q20/2295	
G06Q20/24	クレジットスキーム，すなわち「後払い型」
G06Q20/26	デビットスキーム，すなわち「引き落とし型」
G06Q20/28	プリペイドスキーム，すなわち「前払い型」
G06Q20/29	｛マイクロペイメントに特徴があるもの｝
G06Q20/30	特定の装置の使用に特徴を有するもの
G06Q20/305	｛支払を促進するため有線電話を使用するもの｝
G06Q20/306	
G06Q20/308	
G06Q20/32	無線装置を用いるもの
G06Q20/321	
G06Q20/322	｛携帯端末を使用する商取引の観点｝
G06Q20/3221	｛携帯端末を通じた口座情報へのアクセス｝
G06Q20/3223	｛携帯端末を通じた口座取引の実現｝
G06Q20/3224	｛携帯端末の位置に基づいた取引｝
G06Q20/3226	｛携帯端末とは別のセキュアな要素の使用｝
G06Q20/3227	｛携帯端末に組み込まれたセキュリティの使用｝
G06Q20/3229	｛携帯端末のＳＩＭをセキュアな要素として使用｝
G06Q20/325	｛無線ネットワークを用いるもの｝
G06Q20/3255	｛支払のためにＳＭＳを用いるもの｝
G06Q20/326	
G06Q20/3263	
G06Q20/3265	
G06Q20/3267	
G06Q20/327	｛携帯端末による近距離または近接での支払｝
G06Q20/3272	｛オーディオコードを用いるもの｝
G06Q20/3274	｛携帯端末上に表示された画像コードを用いるもの，例．バーコードまたはＱＲコード｝
G06Q20/3276	｛携帯端末に読み込まれる画像コードを用いるもの，例．バーコードまたはＱＲコード｝
G06Q20/3278	｛携帯端末によるＲＦＩＤまたはＮＦＣ支払｝
G06Q20/34	カードを用いるもの，例．ＩＣカードまたは磁気カード
