Y02T10/00	物または人の陸上運送
Y02T10/10	内部燃焼機関［ＩＣＥ］による車両
Y02T10/12	通常の内部燃焼機関の表示された効率性を改善する技術
Y02T10/30	代替的燃料の使用
Y02T10/40	機関管理体系
Y02T10/60	天候変化の影響を軽減するその他の陸上運送技術（不使用、サブグループ参照）
Y02T10/62	ハイブリッド車両
Y02T10/64	電気自動車のアプリケーションのための電気機械技術
Y02T10/70	電気自動車のためのエネルギー保管（水素内部燃焼機関Ｙ０２Ｔ９０／４２；燃料電池を動力源とする電気自動車Ｙ０２Ｔ９０／３４）
Y02T10/7072	バッテリー，ウルトラコンデンサー，スーパーコンデンサーまたは二層コンデンサーのための充電の体系または方法が電気自動車に特有のもの（陸上輸送におけるバッテリー，ウルトラコンデンサー，スーパーコンデンサーまたは二層コンデンサーのための充電の効率的な体系一般Ｙ０２Ｔ１０／９２）
Y02T10/72	電気自動車における電力管理
Y02T10/80	グリーンハウスガス放出を減少することを目指した全ての陸上輸送技術に共通する技術
Y02T10/82	空気力学デザインのための工具または体系
Y02T10/84	データ処理の体系または方法，管理，実施
Y02T10/86	転がり抵抗の最適化
Y02T10/88	最適化された構成部分またはサブシステム，例．照明，能動的に制御されたガラス
Y02T10/90	付属機器のための動力供給としてのエネルギー収得概念；エネルギー消費，例．光起電サンルーフ
Y02T10/92	車両のために特に適合したエネルギー効率の良いバッテリー，ウルトラコンデンサー，スーパーコンデンサーまたは二層蓄電器のための充電または放電システム
Y02T30/00	鉄道を介した物品または乗客の輸送
Y02T50/00	航空学または空中輸送
Y02T50/10	ドラッグ削減
Y02T50/30	翼リフト効率
Y02T50/40	重量削減
Y02T50/50	エネルギー効率を高めるための機内で行う手段
Y02T50/60	効率的な推進技術
Y02T50/678	非化石燃料の使用
Y02T50/80	エネルギー効率的な作業手段
Y02T70/00	海事または水路の輸送
Y02T70/10	船舶の船体の設計または建造に関する手段
Y02T70/50	推進システムに関連してグリーンハウスガス放出を減少させる手段
Y02T70/5218	炭素への集中を少なくした燃料，例．天然ガス，バイオ燃料
Y02T70/5236	更新可能またはハイブリッドの電気的解決
Y02T90/00	ＧＨＧ放出の緩和を可能にする技術またはその潜在性をもつかまたはそれに間接的に貢献する技術
Y02T90/10	電気自動車の充電に関連する技術
Y02T90/12	電気充電所
Y02T90/14	プラグイン電気自動車
Y02T90/16	電気自動車の運転を改善する情報または通信技術
Y02T90/167	動力網運営に関する技術および電気またはハイブリッド車両の相互運用性を支持するための通信または情報技術，すなわち電気およびハイブリッド車両のバッテリー充電のためのインターフェイスとしてのスマートグリッド<br><br><u>注</u><br><br>Ｙ０２Ｔ９０/１６７にタグされた文献は同時にＹ０４Ｓ３０/１０にもまたタグされる
Y02T90/40	水素技術の輸送への応用
