Y02A10/00	沿岸地域におけるもの；河川流域におけるもの
Y02A10/11	硬質な建造物，例．ダム，堤防または防波堤
Y02A10/23	砂丘の再生または創造；珊瑚礁の再生または保護
Y02A10/26	人工の魚礁または海藻，例．珊瑚礁の再生または保護
Y02A10/30	水防；洪水または雨水の管理，例．防潮壁の使用
Y02A10/40	制御または監視，例．洪水またはハリケーンの（制御・監視）；予測，例．リスク評価または解析
Y02A20/00	水の保全；効率的な給水；効率的な水利
Y02A20/108	雨水の貯留
Y02A20/124	塩水の脱塩
Y02A20/131	逆浸透
Y02A20/138	再生可能エネルギーの利用
Y02A20/141	風力
Y02A20/142	太陽熱；太陽光発電
Y02A20/144	波浪エネルギー
Y02A20/146	排水の利用
Y02A20/148	洗面器またはシャワーから出る家庭用水の利用
Y02A20/15	貯水または排水における漏損削減または検出
Y02A20/152	水の濾過
Y02A20/20	水質汚染の統制；排水処理
Y02A20/204	開放水域の水面を石油流出から汚染なく保つこと
Y02A20/208	自給電気による水処理
Y02A20/211	太陽光発電による浄水
Y02A20/212	太陽光発電による下水排水処理，例．噴霧蒸発   
Y02A20/30	工業用水に関連するもの，　例．冷却へ利用
Y02A20/40	水資源の保護
Y02A20/402	河川の再生
Y02A20/404	塩水侵入の防壁
Y02A20/406	帯水層のリチャージ
Y02A20/411	ユーザレベルでの節水スキル
Y02A30/00	インフラの適用または保護、またはそれらの運用
Y02A30/14	異常気象に対し強靱な電力供給システム，例．送電線または地中送電線の強化
Y02A30/24	断熱を改善するための構造要素または技術
Y02A30/242	スラブ形状の真空断熱
Y02A30/244	天然または再生建築材料を用いるもの，例．わら，羊毛，粘土または中古タイヤ
Y02A30/249	つや出し，例．真空つや出し
Y02A30/254	屋上庭園システム；高度日射反射率のある屋根葺き
Y02A30/27	暖房，換気または空調［ＨＶＡＣ］技術に関連するもの
Y02A30/272	太陽光加熱または冷却
Y02A30/274	廃棄エネルギーの利用，例．内燃機関からのもの
Y02A30/30	輸送におけるもの，例．道路，水路または鉄道のもの
Y02A30/60	都市のグリーンインフラストラクチャを計画または発展させること
Y02A40/00	農業，林業，畜産業または農産物加工製造における適合技術
Y02A40/10	農業におけるもの
Y02A40/13	非生物的ストレス
Y02A40/132	干ばつに強い植物
Y02A40/135	塩分に強い植物
Y02A40/138	暑さに強い植物
Y02A40/146	外来の遺伝子が導入された［ＧＭＯ］植物，例．トランスジェニック植物
Y02A40/20	植物由来の肥料，例．グアノまたは動物の死骸から作られた肥料
Y02A40/22	土地利用の改善；水の利用または可用性の改善；浸食の管理
Y02A40/25	温室技術，例．そのための冷却装置
Y02A40/28	耕作に特に適合されるもの
Y02A40/51	農作物または園芸作物を保管するのに特に適合されるもの
Y02A40/58	再生可能エネルギーを利用するもの
Y02A40/60	生態回廊または緩衝地帯
Y02A40/70	家畜または家禽におけるもの
Y02A40/76	再生可能エネルギーを利用するもの
Y02A40/80	漁業経営におけるもの
Y02A40/81	水産養殖，例．魚類のそれ
Y02A40/818	魚類用の代替飼料
Y02A40/90	食料加工または処理におけるもの，例．食料保存
Y02A40/924	再生可能エネルギーを利用するもの
Y02A40/926	太陽熱を利用したコンロまたは竈
Y02A40/928	バイオマスを利用したコンロ
Y02A40/963	自給電気による食品の冷蔵
Y02A40/966	再生可能エネルギー源を原動力とするもの
Y02A50/00	ヒトの健康保護におけるもの，例．異常気象に対するもの
Y02A50/20	大気質の改善または保存，例．触媒式排ガス浄化装置の使用による車両排ガス規制または排出削減
Y02A50/2351	大気中の微粒子物質［ＰＭ］，例．炭素煙微粒子，煙霧，エアロゾル粒子，粉塵
Y02A50/30	その影響が気候変動によって悪化する病原媒介生物由来疾患に対するもの，例．蚊，蝿，蚤が媒介する感染症または水系感染症
Y02A90/00	気候変動への適合に間接的貢献のある技術
Y02A90/10	気候変動への適合を支援する情報および通信技術［ＩＣＴ］,例．天気予報または気候シミュレーション
Y02A90/30	水資源の評価
Y02A90/40	侵略種の監視または侵略種との闘い
