F24S10/00	作動流体を用いる太陽熱集熱器
F24S10/10	作動流体がプールまたは池を形成するもの
F24S10/13	塩勾配の池
F24S10/17	カバーまたは浮遊する太陽光吸収要素を用いるもの
F24S10/20	２以上の作動流体のための回路を有するもの（２以上の流体間で熱交換を行う手段を有するものＦ２４Ｓ１０／３０）
F24S10/25	同一の作動流体のための太陽光線の方向に積層された２以上の流路を備えるもの，例．下側循環経路と接続される上側循環経路を備えたもの
F24S10/30	２以上の作動流体間で熱交換するための手段を有するもの
F24S10/40	吸収要素が透明なエンクロージャに囲われたもの，例．真空太陽熱集熱器
F24S10/45	｛エンクロージャが円筒状であるもの｝
F24S10/50	作動流体がプレート間を運ばれるもの
F24S10/501	｛プラスチック材料の導路を有するもの｝
F24S10/502	｛対になったプレートおよび内部仕切り手段により形成された導路を有するもの｝
F24S10/503	｛対になったプレートでありそれらのうちのただ一つが平らであるものにより形成された導路を有するもの｝
F24S10/504	｛対になった平らでないプレートにより形成された導路を有するもの｝
F24S10/505	｛湾曲したプレート状の導路，例．半球状のもの，を有するもの｝
F24S10/506	｛対になった結合されたシートの一部の膨張により形成された導路を有するもの｝
F24S10/55	拡大表面，例．突起または波形，を有するもの（作動流体に直接接触する多孔性材料または透過性物体を有する集熱器Ｆ２４Ｓ１０／８０）
F24S10/60	作動流体が吸収要素上を少しずつ自由に流れるもの
F24S10/70	作動流体が筒状の吸熱導管内を運ばれるもの
F24S2010/71	｛導管が非円形の横断面を有するもの｝
F24S10/72	｛筒状の導管がブロックに組み込まれ，筒状の導管が互いに接触するもの｝
F24S10/73	｛筒状の導管がプラスチック材料からなるもの｝
F24S10/74	｛筒状の導管が吸熱プレートに固定されずかつ互いに接触しないもの｝
F24S10/742	｛導管が互いに平行であるもの｝
F24S10/744	｛導管が螺旋状に巻かれたもの｝
F24S10/746	｛導管が渦巻状に巻かれたもの｝
F24S10/748	｛導管がそれ以外に曲げられたもの，例．ジグザグ｝
F24S10/75	拡大表面，例．突起または波形，を有するもの（作動流体に直接接触する多孔性材料または透過性物体を有する集熱器Ｆ２４Ｓ１０／８０）
F24S2010/751	｛特別なフィン｝
F24S2010/752	｛傾斜して拡がったもの｝
F24S10/753	｛導管が互いに平行であるもの｝
F24S10/754	｛導管が渦巻状に巻かれたもの｝
F24S10/755	｛導管がそれ以外に曲げられたもの，例．ジグザグ｝
F24S10/80	作動流体に直接接触する多孔性材料または透過性物体を有するもの（気化部から凝縮部へ液化作動流体を毛細管力で運ぶものＦ２４Ｓ１０／９５）<br><br><u>警告</u><br><br>グループＦ２４Ｓ１０／８０はグループＦ２４Ｓ１０／９５への再分類の影響を受ける。<br>グループＦ２４Ｓ１０／８０およびＦ２４Ｓ１０／９５はコンプリートサーチの完遂のために考慮されるべきである。
F24S10/90	内部の熱サイフォン循環を用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ１０／９０はグループＦ２４Ｓ９０／１０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ１０／９０はまたグループＦ２４Ｓ１０／９５およびＦ２４Ｓ９０／１０への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24S10/95	気化部と凝縮部を有するもの，例．ヒートパイプ<br><br><u>警告</u><br><br>グループＦ２４Ｓ１０／９５はグループＦ２４Ｓ１０／８０，Ｆ２４Ｓ１０／９０およびＦ２４Ｓ９０／１０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ１０／８０，Ｆ２４Ｓ１０／９０，Ｆ２４Ｓ９０／１０およびＦ２４Ｓ１０／９５はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/00	特定の用途または環境に特に適合する太陽熱収熱器<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／００はグループＦ２４Ｓ２１／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／００およびＦ２４Ｓ２１／００はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/02	｛水泳プールのためのもの｝
F24S20/04	｛シャワーのためのもの｝
F24S2020/10	｛太陽モジュールのレイアウト；モジュール配置｝
F24S2020/11	｛多数の列および多数の行の形態からなり，すべての太陽モジュールが同一平面であるもの｝
F24S2020/12	｛枠が重なる部分のある同一平面での配置｝
F24S2020/13	｛瓦に似せた表面を覆う配置｝
F24S2020/14	｛モジュールの重なり合いのない，階段状の配置，例．平行な平面でのもの｝
F24S2020/15	｛平行でない配置｝
F24S2020/16	｛影の作用の防止｝
F24S2020/17	｛太陽ＰＶモジュールと組み合わされた太陽熱モジュール装置｝
F24S2020/18	｛特定の形状，例．プリズム状，角錐状，をもつもの｝
F24S2020/183	｛ルーバーの形状のもの｝
F24S2020/186	｛周熱の最適化のために位置の変化を許容するもの｝
F24S20/20	集中された太陽エネルギーを受ける太陽熱集熱器，例．太陽発電プラント用受熱器
F24S2020/23	｛移動可能または調整可能｝
F24S20/25	集中された放射と組み合わせて直接の太陽放射を用いるもの
F24S20/30	対象物を加熱する太陽熱集熱器，例．太陽熱調理器または太陽炉<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／３０はグループＦ２４Ｓ５０／２０への再分類の影響を受ける。<br>グループＦ２４Ｓ２０／３０およびＦ２４Ｓ５０／２０はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/40	他の熱源，例．電気加熱または周囲の空気の熱，を組み合わせた太陽熱集熱器
F24S20/50	丸められるまたは折りたためる太陽熱集熱器モジュール<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／５０はグループＦ２４Ｓ２０／５５への再分類の影響を受ける。<br>グループＦ２４Ｓ２０／５０およびＦ２４Ｓ２０／５５はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/55	可撓性材料で作られるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／５５はグループＦ２４Ｓ２０／５０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／５０およびＦ２４Ｓ２０／５５はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/60	固定構造物，例．建物，に組み込まれる太陽熱集熱器
F24S20/61	パッシブ型太陽熱集熱器，例．外部エネルギー源なしに作動するもの
F24S20/62	フェンス，らんかんまたは手すりの形態のもの
F24S20/63	窓の形態のもの
F24S20/64	床構造，地面または道路の形態のもの
F24S20/66	ファサード構造，例．壁構造，の形態のもの（屋根板またはタイルの形態のものＦ２４Ｓ２０／６９）<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／６６はグループＦ２４Ｓ２０／６９への再分類の影響を受ける。<br>グループＦ２４Ｓ２０／６６およびＦ２４Ｓ２０／６９はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/67	屋根構造の形態のもの（屋根板またはタイルの形態のものＦ２４Ｓ２０／６９）
F24S20/69	屋根板またはタイルの形態のもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／６９はグループＦ２４Ｓ２０／６６からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／６６およびＦ２４Ｓ２０／６９はコンプリートサーチの完遂のために考慮されるべきである。
F24S20/70	水上太陽熱集熱器モジュール（プールまたは池を形成する作動流体用Ｆ２４Ｓ１０／１０）<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０／７０はグループＦ２４Ｓ３０／００，Ｆ２４Ｓ３０／２０，Ｆ２４Ｓ３０／４０，Ｆ２４Ｓ３０／４２，Ｆ２４Ｓ３０／４２２，Ｆ２４Ｓ３０／４２５，Ｆ２４Ｓ３０／４２８，Ｆ２４Ｓ３０／４５，Ｆ２４Ｓ３０／４５２，Ｆ２４Ｓ３０／４５５，Ｆ２４Ｓ３０／４５８，およびＦ２４Ｓ３０／４８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24S20/80	空中浮遊太陽光集熱器モジュール，例．膨張可能構造
F24S21/00	グループＦ２４Ｓ１０／００〜Ｆ２４Ｓ２０／００に分類されない太陽熱集熱器<br><br><u>警告</u><br><br>グループＦ２４Ｓ２１／００はグループＦ２４Ｓ２０／００への再分類の影響を受ける。<br>グループＦ２４Ｓ２１／００およびＦ２４Ｓ２０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24S23/00	太陽熱集熱器に太陽光線を集中させる装置<br><br><u>警告</u><br><br>グループＦ２４Ｓ２３／００はグループＦ２４Ｓ５０／２０への再分類の影響を受ける。<br>グループＦ２４Ｓ２３／００およびＦ２４Ｓ５０／２０はコンプリートサーチの完遂のために考慮されるべきである。
F24S23/10	｛プリズム｝
F24S23/11	｛蛍光材料｝
F24S23/12	｛導光体｝
F24S23/30	レンズを有するもの
F24S23/31	｛不連続な面を有するもの，例．フレネルレンズ｝
F24S23/70	反射体を有するもの
F24S23/71	パラボラ型反射面を有するもの（円筒放物線状の反射面を有するものＦ２４Ｓ２３／７４）<br><br><u>警告</u><br><br>グループＦ２４Ｓ２３／７１はグループＦ２４Ｓ２３／７４への再分類の影響を受ける。<br>グループＦ２４Ｓ２３／７１およびＦ２４Ｓ２３／７４はコンプリートサーチの完遂のために考慮されるべきである。
F24S23/715	｛可撓性｝
F24S23/72	半球形反射面を有するもの
F24S23/74	トラフ形状または円筒放物線状の反射面を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ２３／７４はグループＦ２４Ｓ２３／７１からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２３／７１およびＦ２４Ｓ２３／７４はコンプリートサーチの完遂のために考慮されるべきである。
F24S23/745	｛可撓性｝
F24S23/75	円錐状の反射面を有するもの
F24S23/77	平らな反射面を有するもの
F24S23/79	間隔をもって対向して相互作用する反射平面を有するもの
F24S23/80	｛不連続な面を有するもの｝
F24S23/81	｛可撓性（Ｆ２４Ｓ２３／７１５，Ｆ２４Ｓ２３／７４５が優先）｝
F24S23/82	｛反射体の材料または構造に特徴のあるもの｝
F24S2023/83	｛その他の形状｝
F24S2023/831	｛波形｝
F24S2023/832	｛湾曲｝
F24S2023/833	｛皿型｝
F24S2023/834	｛トラフ形状｝
F24S2023/835	｛非対称形｝
F24S2023/836	｛渦巻形｝
F24S2023/837	｛双曲線形｝
F24S2023/838	｛インボリュート形｝
F24S2023/84	｛太陽熱収集器の内側の反射要素｝
F24S2023/85	｛マイクロ反射体｝
F24S2023/86	｛反射コーティングの形態のもの｝
F24S2023/87	｛反射体のレイアウト｝
F24S2023/872	｛共通の支持体上の間隔を置かれた反射体の組み立て体，例．フレネル反射体｝
F24S2023/874	｛隣接する類似の反射面の組み立て体により形成された反射体｝
F24S2023/876	｛異なる方向または異なる特性をもつ隣接する反射要素の組み立て体により形成された反射体｝
F24S2023/878	｛格子の形状の間隔を置かれた反射体の組み立て体，例．熱吸収要素上に延在する垂直なまたは傾斜した反射要素｝
F24S2023/88	｛多重反射トラップ｝<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０２３／８８はグループＦ２４Ｓ２０７０／６２への再分類の影響を受ける。<br>グループＦ２４Ｓ２０２３／８８およびＦ２４Ｓ２０７０／６２はコンプリートサーチの完遂のために考慮されるべきである。
F24S25/00	太陽熱集熱器モジュールのための静止型の取付け体または支持体の構成<br><br><u>注</u><br><br>光電池モジュールにおいても使用されることが意図される構成はサブクラスＨ０２Ｓの適当なグループに更に分類されるべきである。
F24S2025/01	｛特別な支持体の構成部品；使用の方法｝
F24S2025/011	｛太陽熱集熱器内の要素の取り付けのための装置；太陽熱収集器内のスペーサ｝
F24S2025/012	｛折りたためる支持体要素｝
F24S2025/013	｛積み重ねられる支持体要素｝
F24S2025/014	｛支持体要素を設置するための方法｝
F24S2025/015	｛要素間に遊隙のある支持体｝
F24S2025/016	｛充填または間隔手段；弾性手段｝
F24S2025/017	｛伸長手段｝
F24S2025/018	｛移動を防止するための手段，例．止め具｝
F24S2025/019	｛取付け表面上の不規則性を提供するための手段；許容誤差の補償手段｝
F24S2025/02	｛バラスト手段｝
F24S2025/021	｛支持要素と取付け表面との間のシール手段｝
F24S2025/022	｛支持手段の間のシール手段，例．オーバーラップ装置；間隙を閉鎖する装置｝
F24S2025/023	｛盗難を防ぐための手段；ロック手段｝
F24S25/10	支持面から離れる方向に延びているもの
F24S25/11	成形体，例．コンクリート要素，発泡要素または型成形された箱類似の要素，を用いるもの
F24S25/12	上側プロファイルと組み合わせて支柱を用いるもの
F24S25/13	プロファイル構造，例．トラス（Ｆ２４Ｓ２５／１２が優先）
F24S25/15	曲がった板を用いるもの；板の組み合わせ体を用いるもの
F24S25/16	相互に接続されたスタンド構造の構成；隣接するモジュールのために別個の支持部分を有するスタンド構造
F24S25/20	モジュール用周囲枠
