Y02E10/00	再生可能エネルギー源を通したエネルギーの発生
Y02E10/10	地熱エネルギー
Y02E10/20	水力エネルギー
Y02E10/30	海からのエネルギー，例．波のエネルギーまたは塩分の濃度勾配を用いるもの
Y02E10/40	太陽熱エネルギー，例．塔
Y02E10/44	熱交換システム
Y02E10/46	熱動力の機械的動力への変換，例．ランキン，スターリングまたは太陽熱機関
Y02E10/47	据え付けまたは追跡
Y02E10/50	光起電力［ＰＶ］エネルギー
Y02E10/52	集光装置をもつＰＶシステム
Y02E10/541	ＣｕＩｎＳｅ２材料ＰＶセル
Y02E10/542	色素増感太陽電池
Y02E10/543	グループＩＩ〜ＶＩの材料による太陽電池
Y02E10/544	グループＩＩＩ〜Ｖの材料による太陽電池
Y02E10/545	微結晶シリコンＰＶセル
Y02E10/546	多結晶シリコンＰＶセル
Y02E10/547	単結晶シリコンＰＶセル
Y02E10/548	アモルファスシリコンＰＶセル
Y02E10/549	有機ＰＶセル
Y02E10/56	動力変換システム，例．過大動力点追跡
Y02E10/60	熱−ＰＶのハイブリッド
Y02E10/70	風力エネルギー
Y02E10/72	風向きと平行な回転軸をもつ風力タービン
Y02E10/727	海上風力塔
Y02E10/728	陸上風力塔
Y02E10/74	風向きと直角な回転軸をもつ風力タービン
Y02E10/76	動力変換の電気的または電子的観点
Y02E20/00	緩和の可能性のある燃焼技術
Y02E20/12	廃棄物の燃焼または焼却における熱利用
Y02E20/14	熱電併給発電［ＣＨＰ］
Y02E20/16	コンバインドサイクル発電プラント［ＣＣＰＰ］またはコンバインドサイクルガスタービン［ＣＣＧＴ］
Y02E20/18	ガス化複合発電［ＩＧＣＣ］，例．二酸化炭素回収貯留［ＣＣＳ］との組み合わせ
Y02E20/30	より効率的な燃焼または熱利用のための技術
Y02E20/32	直接的なＣＯ２の緩和
Y02E20/34	間接的なＣＯ２の緩和，すなわち工程に直接関係する非ＣＯ２物質への働きかけによるもの，例．事前加熱または熱回収
Y02E30/00	核に起源するエネルギーの発生
Y02E30/10	核融合炉
Y02E30/30	核分裂原子炉
Y02E40/00	効率的に電力を発生，伝送または分配するための技術
Y02E40/10	フレキシブル交流送電システム［ＦＡＣＴＳ］
Y02E40/20	有効電力フィルター［ＡＰＦ］
Y02E40/30	無効電力の補償
Y02E40/40	調波を低減するための装置
Y02E40/50	多層ネットワークの不均衡を除去または低減するための装置
Y02E40/60	超伝導電気素子または機器；超伝導電気素子または機器を統合した電力システム
Y02E40/70	エネルギー発生部門における気候変動を緩和する技術としてのスマートグリッド
Y02E50/00	化石に起源をもたない燃料を生産するための技術
Y02E50/10	バイオ燃料，例．バイオディーゼル
Y02E50/30	廃棄物から取り出した燃料，例．合成アルコールまたはディーゼル
Y02E60/00	ＧＨＧ排出の緩和を可能にする技術または潜在的または間接的に貢献する技術
Y02E60/10	電池を用いるエネルギー貯蔵
Y02E60/13	ウルトラコンデンサ，スーパーコンデンサ，二層コンデンサ
Y02E60/14	蓄熱
Y02E60/16	機械的エネルギーの貯蔵，例．はずみ車または圧力流体
Y02E60/30	水素技術
Y02E60/32	水素貯蔵
Y02E60/34	水素の分配
Y02E60/36	炭素を含まない原料からの水素の製造，例．水の電気分解によるもの
Y02E60/50	燃料電池
Y02E60/60	高圧直流リンク［ＨＶＤＣ］送電を介した交流網または発電機の間の電力の伝送のための装置
Y02E70/00	ＧＨＧの排出を低減するその他のエネルギー変換または管理システム
Y02E70/30	エネルギーの貯蔵を非化石エネルギーの製造と結合するシステム
